4/16,,4/17,,4/18,,4/19,,4/20,,4/21,,4/22,,4/23,,4/24,,4/25,,4/26,,4/27/2020,,4/28/2020,,4/29/2020,,4/30/2020,,5/1/2020,,5/2/2020,,5/3/2020,,5/4/2020,,5/5/2020,,5/6/2020,,5/7/2020,,5/8/2020,,5/9/2020,,5/10/2020,,5/11/2020,,5/12/2020,,5/13/2020,,5/14/2020,,5/15/2020,,5/16/2020,,5/17/2020,,5/18/2020,,5/19/2020,,5/20/2020,,5/21/2020,,5/22/2020,,5/23/2020,,5/24/2020,,5/25/2020,,5/26/2020,,5/27/2020,,5/28/2020,,5/29/2020,,5/30/2020,,5/31/2020,,6/1/2020,,6/2/2020,,6/3/2020,,6/4/2020,,6/5/2020,,6/6/2020,,6/7/2020,,6/8/2020,,6/9/2020,,6/10/2020,,6/11/2020,,6/12/2020,,6/13/2020,,6/14/2020,,6/15/2020,,6/16/2020,,6/17/2020,,6/18/2020,,6/19/2020,,6/20/2020,,6/21/2020,,6/22/2020,,6/23/2020,,6/24/2020,,6/25/2020,,6/26/2020,,6/27/2020,,6/28/2020,,6/29/2020,,6/30/2020,,7/1/2020,,7/2/2020,,7/3/2020,,7/4/2020,,7/5/2020,,7/6/2020,,7/7/2020,,7/8/2020,,7/9/2020,,7/10/2020,,7/11/2020,,7/12/2020,,7/13/2020,,7/14/2020,,7/15/2020,,7/16/2020,,7/17/2020,,7/18/2020,,7/19/2020,,7/20/2020,,7/21/2020,,7/22/2020,,7/23/2020,,7/24/2020,,7/25/2020,,7/26/2020,,7/27/2020,,7/28/2020,,7/29/2020,,7/30/2020,,7/31/2020,,8/1/2020,,8/2/2020,,8/3/2020,,8/4/2020,,8/5/2020,,8/6/2020,,8/7/2020,,8/8/2020,,8/9/2020,,8/10/2020,,8/11/2020,,8/12/2020,,8/13/2020,,8/14/2020,,8/15/2020,,8/16/2020,,8/17/2020,,8/18/2020,,8/19/2020,,8/20/2020,,8/21/2020,,8/22/2020,,8/23/2020,,8/24/2020,,8/25/2020,,8/26/2020,
zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,Loading...,,Loading...,,zip_code,count,zip_code,count,zip_code,count,Loading...,,Loading...,,Loading...,,zip_code,count,zip_code,count,zip_code,count,Loading...,,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,Loading...,,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,Loading...,,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,Loading...,,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,Loading...,,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count,zip_code,count
88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,89002,26,89002,33,88901,<5 suppressed,88901,<5 suppressed,89002,26,89002,37,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,89002,37,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,89002,73,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,,,,,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,,,,,,,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,,,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,,,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,,,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,,,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,,,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed,88901,<5 suppressed
88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,89005,19,89005,21,88905,<5 suppressed,88905,<5 suppressed,89005,19,89005,21,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,89005,21,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,89005,33,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,,,,,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,,,,,,,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,,,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,,,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,,,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,,,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,,,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed,88905,<5 suppressed
89002,25,89002,25,89002,25,89002,25,89002,25,89002,25,89011,34,89011,39,89002,25,89002,25,89011,34,89011,43,89002,37,89002,37,89002,38,89002,39,89002,33,89002,34,89002,36,89011,43,89002,37,89002,37,89002,38,89002,39,89002,39,89002,39,89002,40,89002,41,89002,43,89002,45,89002,46,89002,47,89002,47,89002,48,89002,53,89002,53,89002,54,89002,56,89002,58,89002,61,89002,61,89002,62,89002,64,89002,65,89002,67,89002,67,89002,68,89002,68,89002,70,89002,70,89002,72,89002,73,89002,73,89002,73,89002,73,89002,73,89011,74,89002,77,89002,78,89002,78,89002,80,89002,80,,,,,89002,85,89002,87,89002,90,,,,,,,89002,99,89002,103,89002,107,,,89002,112,89002,112,89002,113,89002,114,89002,115,89002,115,89002,121,89002,131,89002,132,89002,135,89002,147,89002,153,,,89002,168,89002,175,89002,181,89002,189,89002,194,89002,203,89002,211,89002,220,89002,227,,,89002,245,89002,257,89002,270,89002,282,89002,296,89002,300,89002,308,89002,317,89002,328,89002,339,89002,350,89002,353,89002,357,89002,369,,,89002,385,89002,393,89002,396,89002,396,89002,409,89002,418,89002,429,89002,434,89002,437,89002,448,89002,459,89002,465,,,89002,477,89002,481,89002,485,89002,495,89002,516,89002,519,89002,524,89002,532
89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,89012,29,89012,32,89004,<5 suppressed,89004,<5 suppressed,89012,29,89012,32,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,89012,32,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,89012,59,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,,,,,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,,,,,,,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,,,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,,,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,,,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,,,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,,,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed,89004,<5 suppressed
89005,19,89005,19,89005,19,89005,19,89005,19,89005,19,89014,37,89014,40,89005,19,89005,19,89014,37,89014,43,89005,21,89005,22,89005,22,89005,22,89005,21,89005,21,89005,21,89014,43,89005,21,89005,22,89005,22,89005,22,89005,23,89005,23,89005,23,89005,23,89005,24,89005,25,89005,26,89005,26,89005,26,89005,26,89005,28,89005,29,89005,29,89005,29,89005,29,89005,29,89005,29,89005,29,89005,29,89005,29,89005,29,89005,29,89005,29,89005,29,89005,30,89005,30,89005,31,89005,31,89005,32,89005,33,89005,33,89005,33,89014,81,89005,33,89005,34,89005,34,89005,34,89005,34,,,,,89005,34,89005,35,89005,35,,,,,,,89005,37,89005,37,89005,40,,,89005,42,89005,42,89005,42,89005,42,89005,44,89005,47,89005,48,89005,50,89005,51,89005,51,89005,58,89005,58,,,89005,61,89005,63,89005,63,89005,65,89005,67,89005,70,89005,73,89005,78,89005,79,,,89005,87,89005,90,89005,95,89005,96,89005,98,89005,99,89005,100,89005,103,89005,105,89005,105,89005,107,89005,109,89005,111,89005,112,,,89005,118,89005,121,89005,123,89005,123,89005,123,89005,125,89005,125,89005,129,89005,131,89005,131,89005,131,89005,134,,,89005,134,89005,134,89005,135,89005,137,89005,137,89005,137,89005,140,89005,140
89006,<5 suppressed,89006,<5 suppressed,89006,<5 suppressed,89006,<5 suppressed,89006,<5 suppressed,89006,<5 suppressed,89015,10,89015,15,89006,<5 suppressed,89006,<5 suppressed,89015,10,89015,16,89006,<5 suppressed,89006,<5 suppressed,89006,<5 suppressed,89006,<5 suppressed,89006,<5 suppressed,89006,<5 suppressed,89006,<5 suppressed,89015,16,89006,<5 suppressed,89006,<5 suppressed,89006,<5 suppressed,89006,<5 suppressed,89006,<5 suppressed,89006,<5 suppressed,89006,<5 suppressed,89006,<5 suppressed,89006,<5 suppressed,89006,<5 suppressed,89006,<5 suppressed,89006,<5 suppressed,89006,<5 suppressed,89006,<5 suppressed,89006,<5 suppressed,89006,<5 suppressed,89006,<5 suppressed,89006,<5 suppressed,89006,<5 suppressed,89006,<5 suppressed,89006,<5 suppressed,89006,<5 suppressed,89006,<5 suppressed,89006,<5 suppressed,89006,<5 suppressed,89006,<5 suppressed,89006,<5 suppressed,89006,<5 suppressed,89006,<5 suppressed,89006,<5 suppressed,89006,<5 suppressed,89006,<5 suppressed,89006,<5 suppressed,89006,<5 suppressed,89006,<5 suppressed,89006,<5 suppressed,89015,77,89006,<5 suppressed,89006,<5 suppressed,89006,<5 suppressed,89006,<5 suppressed,89006,<5 suppressed,,,,,89006,<5 suppressed,89006,<5 suppressed,89006,<5 suppressed,,,,,,,89006,<5 suppressed,89006,<5 suppressed,89006,<5 suppressed,,,89006,<5 suppressed,89006,<5 suppressed,89006,<5 suppressed,89006,<5 suppressed,89006,<5 suppressed,89006,<5 suppressed,89006,<5 suppressed,89006,<5 suppressed,89006,<5 suppressed,89006,<5 suppressed,89006,<5 suppressed,89006,<5 suppressed,,,89006,5,89006,5,89006,5,89006,5,89006,5,89006,5,89006,5,89006,5,89006,5,,,89006,5,89006,5,89006,5,89006,5,89006,5,89006,5,89006,5,89006,5,89006,5,89006,5,89006,5,89006,5,89006,5,89006,5,,,89006,5,89006,5,89006,5,89006,5,89006,5,89006,5,89006,5,89006,5,89006,5,89006,5,89006,5,89006,5,,,89006,5,89006,5,89006,5,89006,5,89006,5,89006,5,89006,5,89006,5
89007,<5 suppressed,89007,<5 suppressed,89007,<5 suppressed,89007,<5 suppressed,89007,<5 suppressed,89007,<5 suppressed,89030,86,89030,103,89007,<5 suppressed,89007,<5 suppressed,89030,86,89030,110,89007,<5 suppressed,89007,<5 suppressed,89007,<5 suppressed,89007,<5 suppressed,89007,<5 suppressed,89007,<5 suppressed,89007,<5 suppressed,89030,110,89007,<5 suppressed,89007,<5 suppressed,89007,<5 suppressed,89007,<5 suppressed,89007,<5 suppressed,89007,<5 suppressed,89007,<5 suppressed,89007,<5 suppressed,89007,<5 suppressed,89007,<5 suppressed,89007,<5 suppressed,89007,<5 suppressed,89007,<5 suppressed,89007,<5 suppressed,89007,<5 suppressed,89007,<5 suppressed,89007,<5 suppressed,89007,<5 suppressed,89007,<5 suppressed,89007,<5 suppressed,89007,<5 suppressed,89007,<5 suppressed,89007,<5 suppressed,89007,<5 suppressed,89007,<5 suppressed,89007,<5 suppressed,89007,<5 suppressed,89007,<5 suppressed,89007,<5 suppressed,89007,<5 suppressed,89007,<5 suppressed,89007,<5 suppressed,89007,<5 suppressed,89007,<5 suppressed,89007,<5 suppressed,89007,<5 suppressed,89027,16,89007,<5 suppressed,89007,<5 suppressed,89007,<5 suppressed,89007,<5 suppressed,89007,<5 suppressed,,,,,89007,<5 suppressed,89007,<5 suppressed,89007,<5 suppressed,,,,,,,89007,<5 suppressed,89007,<5 suppressed,89007,<5 suppressed,,,89007,<5 suppressed,89007,<5 suppressed,89007,<5 suppressed,89007,<5 suppressed,89007,<5 suppressed,89007,<5 suppressed,89007,<5 suppressed,89007,<5 suppressed,89007,<5 suppressed,89007,<5 suppressed,89007,<5 suppressed,89007,<5 suppressed,,,89007,<5 suppressed,89007,<5 suppressed,89007,<5 suppressed,89007,<5 suppressed,89007,<5 suppressed,89007,<5 suppressed,89007,<5 suppressed,89007,<5 suppressed,89007,<5 suppressed,,,89007,<5 suppressed,89007,<5 suppressed,89007,<5 suppressed,89007,<5 suppressed,89007,5,89007,7,89007,7,89007,8,89007,8,89007,9,89007,9,89007,9,89007,9,89007,9,,,89007,9,89007,9,89007,9,89007,9,89007,9,89007,9,89007,9,89007,9,89007,9,89007,9,89007,9,89007,9,,,89007,9,89007,9,89007,9,89007,9,89007,10,89007,10,89007,10,89007,10
89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,89031,92,89031,103,89009,<5 suppressed,89009,<5 suppressed,89031,92,89031,109,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,89031,109,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,89030,253,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,,,,,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,,,,,,,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,,,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,,,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,,,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,,,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,,,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed,89009,<5 suppressed
89011,32,89011,32,89011,32,89011,32,89011,32,89011,34,89032,55,89032,61,89011,32,89011,34,89032,55,89032,71,89011,43,89011,44,89011,44,89011,47,89011,38,89011,41,89011,42,89032,71,89011,43,89011,44,89011,44,89011,47,89011,47,89011,48,89011,48,89011,48,89011,48,89011,49,89011,50,89011,50,89011,50,89011,50,89011,51,89011,52,89011,54,89011,55,89011,58,89011,60,89011,62,89011,63,89011,64,89011,64,89011,65,89011,66,89011,66,89011,67,89011,67,89011,68,89011,70,89011,70,89011,71,89011,73,89011,74,89011,76,89031,217,89011,77,89011,80,89011,80,89011,80,89011,82,,,,,89011,85,89011,87,89011,87,,,,,,,89011,88,89011,90,89011,91,,,89011,95,89011,97,89011,100,89011,103,89011,108,89011,117,89011,130,89011,136,89011,142,89011,146,89011,150,89011,158,,,89011,173,89011,176,89011,182,89011,190,89011,196,89011,204,89011,219,89011,224,89011,233,,,89011,254,89011,267,89011,283,89011,298,89011,310,89011,317,89011,324,89011,338,89011,351,89011,359,89011,369,89011,377,89011,383,89011,390,,,89011,398,89011,404,89011,415,89011,415,89011,421,89011,437,89011,452,89011,458,89011,468,89011,477,89011,483,89011,488,,,89011,500,89011,504,89011,512,89011,516,89011,524,89011,529,89011,536,89011,541
